"station_id","history_id","station_name","lon","lat","province","elev","freq","network_id","native_id"
6626,8414,"Penticton Airport",-119.602222222222,49.4630555555556,"BC",344.12,"daily",19,"1126150"
6626,8437,"Penticton Airport",-119.602222222222,49.4625,"BC",344.12,"1-hourly",19,"1126150"
6626,8441,"Penticton Airport",-119.602222222222,49.4625,"BC",344.12,"1-hourly",19,"1126150"
6626,8459,"Penticton Airport",-119.602222222222,49.4625,"BC",344.12,"1-hourly",19,"1126150"
6626,8420,"Penticton Airport",-119.602222222222,49.4630555555556,"BC",344.12,"daily",19,"1126150"
6626,8418,"Penticton Airport",-119.602222222222,49.4630555555556,"BC",344.12,"daily",19,"1126150"
6626,8415,"Penticton Airport",-119.602222222222,49.4625,"BC",344.12,"1-hourly",19,"1126150"
6626,8419,"Penticton Airport",-119.602222222222,49.4625,"BC",344.12,"1-hourly",19,"1126150"
6626,8439,"Penticton Airport",-119.602222222222,49.4625,"BC",344.12,"1-hourly",19,"1126150"
6626,8463,"Penticton Airport",-119.602222222222,49.4625,"BC",344.12,"1-hourly",19,"1126150"
6626,8408,"Penticton Airport",-119.602222222222,49.4630555555556,"BC",344.12,"daily",19,"1126150"
6626,8450,"Penticton Airport",-119.602222222222,49.4630555555556,"BC",344.12,"daily",19,"1126150"
6626,8457,"Penticton Airport",-119.602222222222,49.4625,"BC",344.12,"1-hourly",19,"1126150"
6626,8413,"Penticton Airport",-119.602222222222,49.4625,"BC",344.12,"1-hourly",19,"1126150"
6626,8453,"Penticton Airport",-119.602222222222,49.4625,"BC",344.12,"1-hourly",19,"1126150"
6626,8432,"Penticton Airport",-119.602222222222,49.4630555555556,"BC",344.12,"daily",19,"1126150"
6626,8449,"Penticton Airport",-119.602222222222,49.4625,"BC",344.12,"1-hourly",19,"1126150"
6626,8446,"Penticton Airport",-119.602222222222,49.4630555555556,"BC",344.12,"daily",19,"1126150"
6626,8411,"Penticton Airport",-119.602222222222,49.4625,"BC",344.12,"1-hourly",19,"1126150"
6626,8428,"Penticton Airport",-119.602222222222,49.4630555555556,"BC",344.12,"daily",19,"1126150"
6626,8456,"Penticton Airport",-119.602222222222,49.4630555555556,"BC",344.12,"daily",19,"1126150"
6626,8412,"Penticton Airport",-119.602222222222,49.4630555555556,"BC",344.12,"daily",19,"1126150"
6626,8424,"Penticton Airport",-119.602222222222,49.4630555555556,"BC",344.12,"daily",19,"1126150"
6626,8464,"Penticton Airport",-119.602222222222,49.4630555555556,"BC",344.12,"daily",19,"1126150"
6626,8455,"Penticton Airport",-119.602222222222,49.4625,"BC",344.12,"1-hourly",19,"1126150"
6626,8473,"Penticton Airport",-119.602222222222,49.4625,"BC",344.12,"1-hourly",19,"1126150"
6626,8470,"Penticton Airport",-119.602222222222,49.4630555555556,"BC",344.12,"daily",19,"1126150"
6626,8409,"Penticton Airport",-119.602222222222,49.4625,"BC",344.12,"1-hourly",19,"1126150"
6626,8466,"Penticton Airport",-119.602222222222,49.4630555555556,"BC",344.12,"daily",19,"1126150"
6626,8454,"Penticton Airport",-119.602222222222,49.4630555555556,"BC",344.12,"daily",19,"1126150"
6626,8431,"Penticton Airport",-119.602222222222,49.4625,"BC",344.12,"1-hourly",19,"1126150"
6626,8438,"Penticton Airport",-119.602222222222,49.4630555555556,"BC",344.12,"daily",19,"1126150"
6626,8451,"Penticton Airport",-119.602222222222,49.4625,"BC",344.12,"1-hourly",19,"1126150"
6626,8442,"Penticton Airport",-119.602222222222,49.4630555555556,"BC",344.12,"daily",19,"1126150"
6626,8447,"Penticton Airport",-119.602222222222,49.4625,"BC",344.12,"1-hourly",19,"1126150"
6626,8430,"Penticton Airport",-119.602222222222,49.4630555555556,"BC",344.12,"daily",19,"1126150"
6626,8421,"Penticton Airport",-119.602222222222,49.4625,"BC",344.12,"1-hourly",19,"1126150"
6626,8444,"Penticton Airport",-119.602222222222,49.4630555555556,"BC",344.12,"daily",19,"1126150"
6626,8435,"Penticton Airport",-119.602222222222,49.4625,"BC",344.12,"1-hourly",19,"1126150"
